"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Employment size of establishments code (EMPSZFE_LABEL)","Year (YEAR)","Number of establishments (ESTAB)"
"Niagara County, New York","31-33","Manufacturing","All establishments","2017","273"
"Niagara County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","268"
"Niagara County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","110"
"Niagara County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","37"
"Niagara County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","29"
"Niagara County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","44"
"Niagara County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","28"
"Niagara County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","19"
"Niagara County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","5"
"Oneida County, New York","31-33","Manufacturing","All establishments","2017","229"
"Oneida County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","226"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","92"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","27"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","34"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","28"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","23"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","13"
"Oneida County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","9"
"Oneida County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","3"
"Onondaga County, New York","31-33","Manufacturing","All establishments","2017","417"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","416"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","184"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","41"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","50"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","74"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","27"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","26"
"Onondaga County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","14"
"Ontario County, New York","31-33","Manufacturing","All establishments","2017","168"
"Ontario County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","167"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","60"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","20"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","19"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","33"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","21"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","9"
"Ontario County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","5"
"Orange County, New York","31-33","Manufacturing","All establishments","2017","304"
"Orange County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","303"
"Orange County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","158"
"Orange County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","33"
"Orange County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","30"
"Orange County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","38"
"Orange County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","22"
"Orange County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","18"
"Orange County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","4"
"Orleans County, New York","31-33","Manufacturing","All establishments","2017","44"
"Orleans County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","44"
"Orleans County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","20"
"Orleans County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","4"
"Orleans County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","3"
"Orleans County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","7"
"Orleans County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","5"
"Orleans County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","3"
"Oswego County, New York","31-33","Manufacturing","All establishments","2017","86"
"Oswego County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","84"
"Oswego County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","45"
"Oswego County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","9"
"Oswego County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","6"
"Oswego County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","16"
"Oswego County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","3"
"Oswego County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","3"
"Otsego County, New York","31-33","Manufacturing","All establishments","2017","63"
"Otsego County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","60"
"Otsego County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","38"
"Otsego County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","5"
"Otsego County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","5"
"Otsego County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","5"
"Otsego County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","6"
"Otsego County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","3"
"Putnam County, New York","31-33","Manufacturing","All establishments","2017","73"
"Putnam County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","73"
"Putnam County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","51"
"Putnam County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","5"
"Putnam County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","7"
"Putnam County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","7"
"Queens County, New York","31-33","Manufacturing","All establishments","2017","1,207"
"Queens County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","1,197"
"Queens County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","699"
"Queens County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","154"
"Queens County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","139"
"Queens County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","123"
"Queens County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","46"
"Queens County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","27"
"Queens County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","9"
"Queens County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","10"
"Rensselaer County, New York","31-33","Manufacturing","All establishments","2017","98"
"Rensselaer County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","97"
"Rensselaer County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","50"
"Rensselaer County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","8"
"Rensselaer County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","12"
"Rensselaer County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","15"
"Rensselaer County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","6"
"Rensselaer County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Richmond County, New York","31-33","Manufacturing","All establishments","2017","144"
"Richmond County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","143"
"Richmond County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","100"
"Richmond County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","19"
"Richmond County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","11"
"Richmond County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","9"
"Richmond County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","3"
"Rockland County, New York","31-33","Manufacturing","All establishments","2017","230"
"Rockland County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","229"
"Rockland County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","121"
"Rockland County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","34"
"Rockland County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","22"
"Rockland County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","19"
"Rockland County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","17"
"Rockland County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","9"
"Rockland County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","7"
"St. Lawrence County, New York","31-33","Manufacturing","All establishments","2017","69"
"St. Lawrence County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","64"
"St. Lawrence County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","29"
"St. Lawrence County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","8"
"St. Lawrence County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","8"
"St. Lawrence County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","6"
"St. Lawrence County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","7"
"St. Lawrence County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","5"
"St. Lawrence County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","5"
"Saratoga County, New York","31-33","Manufacturing","All establishments","2017","126"
"Saratoga County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","125"
"Saratoga County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","54"
"Saratoga County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","20"
"Saratoga County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","13"
"Saratoga County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","20"
"Saratoga County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","9"
"Saratoga County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","5"
"Saratoga County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","4"
"Schenectady County, New York","31-33","Manufacturing","All establishments","2017","101"
"Schenectady County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","101"
"Schenectady County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","44"
"Schenectady County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","9"
"Schenectady County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","15"
"Schenectady County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","16"
"Schenectady County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","8"
"Schenectady County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","6"
"Schenectady County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","3"
"Schoharie County, New York","31-33","Manufacturing","All establishments","2017","29"
"Schoharie County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","28"
"Schoharie County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","21"
"Schoharie County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","3"
"Schuyler County, New York","31-33","Manufacturing","All establishments","2017","D"
"Schuyler County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","43"
"Schuyler County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","29"
"Schuyler County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","3"
"Schuyler County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","4"
"Schuyler County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","5"
"Seneca County, New York","31-33","Manufacturing","All establishments","2017","54"
"Seneca County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","54"
"Seneca County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","24"
"Seneca County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","7"
"Seneca County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","6"
"Seneca County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","8"
"Seneca County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","5"
"Seneca County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Steuben County, New York","31-33","Manufacturing","All establishments","2017","78"
"Steuben County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","77"
"Steuben County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","39"
"Steuben County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","5"
"Steuben County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","15"
"Steuben County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","6"
"Steuben County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","4"
"Steuben County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","6"
"Suffolk County, New York","31-33","Manufacturing","All establishments","2017","1,893"
"Suffolk County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","1,878"
"Suffolk County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","935"
"Suffolk County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","228"
"Suffolk County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","243"
"Suffolk County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","264"
"Suffolk County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","101"
"Suffolk County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","76"
"Suffolk County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","31"
"Suffolk County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","15"
"Sullivan County, New York","31-33","Manufacturing","All establishments","2017","54"
"Sullivan County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","53"
"Sullivan County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","25"
"Sullivan County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","13"
"Sullivan County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","6"
"Sullivan County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","5"
"Tioga County, New York","31-33","Manufacturing","All establishments","2017","35"
"Tioga County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","34"
"Tioga County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","20"
"Tioga County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","3"
"Tioga County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","3"
"Tioga County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Tompkins County, New York","31-33","Manufacturing","All establishments","2017","88"
"Tompkins County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","85"
"Tompkins County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","46"
"Tompkins County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","8"
"Tompkins County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","11"
"Tompkins County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","9"
"Tompkins County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","3"
"Tompkins County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","6"
"Tompkins County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","3"
"Ulster County, New York","31-33","Manufacturing","All establishments","2017","187"
"Ulster County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","186"
"Ulster County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","98"
"Ulster County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","22"
"Ulster County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","27"
"Ulster County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","21"
"Ulster County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","10"
"Ulster County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","8"
"Warren County, New York","31-33","Manufacturing","All establishments","2017","78"
"Warren County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","78"
"Warren County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","34"
"Warren County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","10"
"Warren County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","13"
"Warren County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","12"
"Warren County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","3"
"Warren County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","4"
"Washington County, New York","31-33","Manufacturing","All establishments","2017","88"
"Washington County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","86"
"Washington County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","35"
"Washington County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","6"
"Washington County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","15"
"Washington County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","15"
"Washington County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","7"
"Washington County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","7"
"Wayne County, New York","31-33","Manufacturing","All establishments","2017","130"
"Wayne County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","129"
"Wayne County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","57"
"Wayne County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","14"
"Wayne County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","14"
"Wayne County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","18"
"Wayne County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","11"
"Wayne County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","8"
"Wayne County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","7"
"Westchester County, New York","31-33","Manufacturing","All establishments","2017","551"
"Westchester County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","549"
"Westchester County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","304"
"Westchester County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","74"
"Westchester County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","56"
"Westchester County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","67"
"Westchester County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","24"
"Westchester County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","16"
"Westchester County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","8"
"Wyoming County, New York","31-33","Manufacturing","All establishments","2017","47"
"Wyoming County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","47"
"Wyoming County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","18"
"Wyoming County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","5"
"Wyoming County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","7"
"Wyoming County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","4"
"Wyoming County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","6"
"Wyoming County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","7"
"Yates County, New York","31-33","Manufacturing","All establishments","2017","45"
"Yates County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","43"
"Yates County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","23"
"Yates County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","5"
"Yates County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","5"
"Yates County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","5"
"Yates County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"